race_raw,year,deaths,births,rate,race_cat
Non-Hispanic other races,2010,1324,274400,4.83,NH Other
Non-Hispanic other races,2011,1338,279289,4.79,NH Other
Non-Hispanic other races,2012,1363,296781,4.59,NH Other
Non-Hispanic other races,2013,1280,290526,4.41,NH Other
Non-Hispanic other races,2014,1273,305326,4.17,NH Other
Non-Hispanic other races,2015,1401,302673,4.63,NH Other
Non-Hispanic other races,2016,1380,313296,4.4,NH Other
Non-Hispanic other races,2017,1402,306378,4.58,NH Other
Non-Hispanic other races,2018,1295,297502,4.35,NH Other
Non-Hispanic other races,2019,1187,294448,4.03,NH Other
Non-Hispanic other races,2020,15142,2712988,5.58,NH Other
Non-Hispanic other races,2021,15296,2741995,5.58,NH Other
Non-Hispanic other races,2022,15568,2695396,5.78,NH Other
Non-Hispanic other races,2023,14994,2617957,5.73,NH Other
