Notes,ICD-10 130 Cause List (Infants),ICD-10 130 Cause List (Infants) Code,Year of Death,Year of Death Code,Deaths,Births,Death Rate
,#Tuberculosis (A16-A19),GR130-004,2021,2021,Suppressed,3664292,Suppressed
,#Tuberculosis (A16-A19),GR130-004,2022,2022,0,3667758,0
,#Tuberculosis (A16-A19),GR130-004,2023,2023,0,3596017,0
,"#Tetanus (A33,A35)",GR130-005,2007,2007,0,4316233,0
,"#Tetanus (A33,A35)",GR130-005,2008,2008,0,4247726,0
,"#Tetanus (A33,A35)",GR130-005,2009,2009,0,4130665,0
,"#Tetanus (A33,A35)",GR130-005,2010,2010,0,3999386,0
,"#Tetanus (A33,A35)",GR130-005,2011,2011,0,3953590,0
,"#Tetanus (A33,A35)",GR130-005,2012,2012,0,3952841,0
,"#Tetanus (A33,A35)",GR130-005,2013,2013,0,3932181,0
,"#Tetanus (A33,A35)",GR130-005,2014,2014,0,3988076,0
,"#Tetanus (A33,A35)",GR130-005,2015,2015,0,3978497,0
,"#Tetanus (A33,A35)",GR130-005,2016,2016,0,3945875,0
,"#Tetanus (A33,A35)",GR130-005,2017,2017,0,3855500,0
,"#Tetanus (A33,A35)",GR130-005,2018,2018,0,3791712,0
,"#Tetanus (A33,A35)",GR130-005,2019,2019,0,3747540,0
,"#Tetanus (A33,A35)",GR130-005,2020,2020,0,3613647,0
,"#Tetanus (A33,A35)",GR130-005,2021,2021,0,3664292,0
,"#Tetanus (A33,A35)",GR130-005,2022,2022,0,3667758,0
,"#Tetanus (A33,A35)",GR130-005,2023,2023,0,3596017,0
,#Diphtheria (A36),GR130-006,2007,2007,0,4316233,0
,#Diphtheria (A36),GR130-006,2008,2008,0,4247726,0
,#Diphtheria (A36),GR130-006,2009,2009,0,4130665,0
,#Diphtheria (A36),GR130-006,2010,2010,0,3999386,0
,#Diphtheria (A36),GR130-006,2011,2011,0,3953590,0
,#Diphtheria (A36),GR130-006,2012,2012,0,3952841,0
,#Diphtheria (A36),GR130-006,2013,2013,0,3932181,0
,#Diphtheria (A36),GR130-006,2014,2014,0,3988076,0
,#Diphtheria (A36),GR130-006,2015,2015,0,3978497,0
,#Diphtheria (A36),GR130-006,2016,2016,0,3945875,0
,#Diphtheria (A36),GR130-006,2017,2017,0,3855500,0
,#Diphtheria (A36),GR130-006,2018,2018,0,3791712,0
,#Diphtheria (A36),GR130-006,2019,2019,0,3747540,0
,#Diphtheria (A36),GR130-006,2020,2020,0,3613647,0
,#Diphtheria (A36),GR130-006,2021,2021,0,3664292,0
,#Diphtheria (A36),GR130-006,2022,2022,0,3667758,0
,#Diphtheria (A36),GR130-006,2023,2023,0,3596017,0
,#Whooping cough (A37),GR130-007,2007,2007,Suppressed,4316233,Suppressed
,#Whooping cough (A37),GR130-007,2008,2008,18,4247726,0.00 (Unreliable)
,#Whooping cough (A37),GR130-007,2009,2009,13,4130665,0.00 (Unreliable)
,#Whooping cough (A37),GR130-007,2010,2010,24,3999386,0.01
,#Whooping cough (A37),GR130-007,2011,2011,Suppressed,3953590,Suppressed
,#Whooping cough (A37),GR130-007,2012,2012,15,3952841,0.00 (Unreliable)
,#Whooping cough (A37),GR130-007,2013,2013,10,3932181,0.00 (Unreliable)
,#Whooping cough (A37),GR130-007,2014,2014,10,3988076,0.00 (Unreliable)
,#Whooping cough (A37),GR130-007,2015,2015,Suppressed,3978497,Suppressed
,#Whooping cough (A37),GR130-007,2016,2016,Suppressed,3945875,Suppressed
,#Whooping cough (A37),GR130-007,2017,2017,Suppressed,3855500,Suppressed
,#Whooping cough (A37),GR130-007,2018,2018,Suppressed,3791712,Suppressed
,#Whooping cough (A37),GR130-007,2019,2019,Suppressed,3747540,Suppressed
,#Whooping cough (A37),GR130-007,2020,2020,Suppressed,3613647,Suppressed
,#Whooping cough (A37),GR130-007,2021,2021,Suppressed,3664292,Suppressed
,#Whooping cough (A37),GR130-007,2022,2022,Suppressed,3667758,Suppressed
,#Whooping cough (A37),GR130-007,2023,2023,Suppressed,3596017,Suppressed
,#Meningococcal infection (A39),GR130-008,2007,2007,11,4316233,0.00 (Unreliable)
,#Meningococcal infection (A39),GR130-008,2008,2008,Suppressed,4247726,Suppressed
,#Meningococcal infection (A39),GR130-008,2009,2009,11,4130665,0.00 (Unreliable)
,#Meningococcal infection (A39),GR130-008,2010,2010,11,3999386,0.00 (Unreliable)
,#Meningococcal infection (A39),GR130-008,2011,2011,Suppressed,3953590,Suppressed
,#Meningococcal infection (A39),GR130-008,2012,2012,Suppressed,3952841,Suppressed
,#Meningococcal infection (A39),GR130-008,2013,2013,Suppressed,3932181,Suppressed
,#Meningococcal infection (A39),GR130-008,2014,2014,Suppressed,3988076,Suppressed
,#Meningococcal infection (A39),GR130-008,2015,2015,Suppressed,3978497,Suppressed
,#Meningococcal infection (A39),GR130-008,2016,2016,Suppressed,3945875,Suppressed
,#Meningococcal infection (A39),GR130-008,2017,2017,Suppressed,3855500,Suppressed
,#Meningococcal infection (A39),GR130-008,2018,2018,Suppressed,3791712,Suppressed
,#Meningococcal infection (A39),GR130-008,2019,2019,Suppressed,3747540,Suppressed
,#Meningococcal infection (A39),GR130-008,2020,2020,Suppressed,3613647,Suppressed
,#Meningococcal infection (A39),GR130-008,2021,2021,Suppressed,3664292,Suppressed
,#Meningococcal infection (A39),GR130-008,2022,2022,Suppressed,3667758,Suppressed
,#Meningococcal infection (A39),GR130-008,2023,2023,0,3596017,0
,#Septicemia (A40-A41),GR130-009,2007,2007,284,4316233,0.07
,#Septicemia (A40-A41),GR130-009,2008,2008,291,4247726,0.07
,#Septicemia (A40-A41),GR130-009,2009,2009,223,4130665,0.05
,#Septicemia (A40-A41),GR130-009,2010,2010,216,3999386,0.05
,#Septicemia (A40-A41),GR130-009,2011,2011,178,3953590,0.05
,#Septicemia (A40-A41),GR130-009,2012,2012,180,3952841,0.05
,#Septicemia (A40-A41),GR130-009,2013,2013,150,3932181,0.04
,#Septicemia (A40-A41),GR130-009,2014,2014,160,3988076,0.04
,#Septicemia (A40-A41),GR130-009,2015,2015,177,3978497,0.04
,#Septicemia (A40-A41),GR130-009,2016,2016,191,3945875,0.05
,#Septicemia (A40-A41),GR130-009,2017,2017,148,3855500,0.04
,#Septicemia (A40-A41),GR130-009,2018,2018,150,3791712,0.04
,#Septicemia (A40-A41),GR130-009,2019,2019,131,3747540,0.03
,#Septicemia (A40-A41),GR130-009,2020,2020,117,3613647,0.03
,#Septicemia (A40-A41),GR130-009,2021,2021,111,3664292,0.03
,#Septicemia (A40-A41),GR130-009,2022,2022,124,3667758,0.03
,#Septicemia (A40-A41),GR130-009,2023,2023,145,3596017,0.04
,#Congenital syphilis (A50),GR130-010,2007,2007,Suppressed,4316233,Suppressed
,#Congenital syphilis (A50),GR130-010,2008,2008,0,4247726,0
,#Congenital syphilis (A50),GR130-010,2009,2009,0,4130665,0
,#Congenital syphilis (A50),GR130-010,2010,2010,Suppressed,3999386,Suppressed
,#Congenital syphilis (A50),GR130-010,2011,2011,Suppressed,3953590,Suppressed
,#Congenital syphilis (A50),GR130-010,2012,2012,Suppressed,3952841,Suppressed
,#Congenital syphilis (A50),GR130-010,2013,2013,Suppressed,3932181,Suppressed
,#Congenital syphilis (A50),GR130-010,2014,2014,Suppressed,3988076,Suppressed
,#Congenital syphilis (A50),GR130-010,2015,2015,Suppressed,3978497,Suppressed
,#Congenital syphilis (A50),GR130-010,2016,2016,Suppressed,3945875,Suppressed
,#Congenital syphilis (A50),GR130-010,2017,2017,Suppressed,3855500,Suppressed
,#Congenital syphilis (A50),GR130-010,2018,2018,0,3791712,0
,#Congenital syphilis (A50),GR130-010,2019,2019,Suppressed,3747540,Suppressed
,#Congenital syphilis (A50),GR130-010,2020,2020,Suppressed,3613647,Suppressed
,#Congenital syphilis (A50),GR130-010,2021,2021,Suppressed,3664292,Suppressed
,#Congenital syphilis (A50),GR130-010,2022,2022,15,3667758,0.00 (Unreliable)
,#Congenital syphilis (A50),GR130-010,2023,2023,Suppressed,3596017,Suppressed
,#Gonococcal infection (A54),GR130-011,2007,2007,0,4316233,0
,#Gonococcal infection (A54),GR130-011,2008,2008,0,4247726,0
,#Gonococcal infection (A54),GR130-011,2009,2009,0,4130665,0
,#Gonococcal infection (A54),GR130-011,2010,2010,0,3999386,0
,#Gonococcal infection (A54),GR130-011,2011,2011,0,3953590,0
,#Gonococcal infection (A54),GR130-011,2012,2012,0,3952841,0
,#Gonococcal infection (A54),GR130-011,2013,2013,0,3932181,0
,#Gonococcal infection (A54),GR130-011,2014,2014,0,3988076,0
,#Gonococcal infection (A54),GR130-011,2015,2015,0,3978497,0
,#Gonococcal infection (A54),GR130-011,2016,2016,0,3945875,0
,#Gonococcal infection (A54),GR130-011,2017,2017,0,3855500,0
,#Gonococcal infection (A54),GR130-011,2018,2018,0,3791712,0
,#Gonococcal infection (A54),GR130-011,2019,2019,0,3747540,0
,#Gonococcal infection (A54),GR130-011,2020,2020,0,3613647,0
,#Gonococcal infection (A54),GR130-011,2021,2021,0,3664292,0
,#Gonococcal infection (A54),GR130-011,2022,2022,0,3667758,0
,#Gonococcal infection (A54),GR130-011,2023,2023,0,3596017,0
,"Viral diseases (A80-B34,U07.1)",GR130-012,2007,2007,114,4316233,0.03
,"Viral diseases (A80-B34,U07.1)",GR130-012,2008,2008,100,4247726,0.02
,"Viral diseases (A80-B34,U07.1)",GR130-012,2009,2009,99,4130665,0.02
,"Viral diseases (A80-B34,U07.1)",GR130-012,2010,2010,89,3999386,0.02
,"Viral diseases (A80-B34,U07.1)",GR130-012,2011,2011,71,3953590,0.02
,"Viral diseases (A80-B34,U07.1)",GR130-012,2012,2012,83,3952841,0.02
,"Viral diseases (A80-B34,U07.1)",GR130-012,2013,2013,93,3932181,0.02
,"Viral diseases (A80-B34,U07.1)",GR130-012,2014,2014,123,3988076,0.03
,"Viral diseases (A80-B34,U07.1)",GR130-012,2015,2015,103,3978497,0.03
,"Viral diseases (A80-B34,U07.1)",GR130-012,2016,2016,113,3945875,0.03
,"Viral diseases (A80-B34,U07.1)",GR130-012,2017,2017,141,3855500,0.04
,"Viral diseases (A80-B34,U07.1)",GR130-012,2018,2018,153,3791712,0.04
,"Viral diseases (A80-B34,U07.1)",GR130-012,2019,2019,135,3747540,0.04
,"Viral diseases (A80-B34,U07.1)",GR130-012,2020,2020,115,3613647,0.03
,"Viral diseases (A80-B34,U07.1)",GR130-012,2021,2021,203,3664292,0.06
,"Viral diseases (A80-B34,U07.1)",GR130-012,2022,2022,269,3667758,0.07
,"Viral diseases (A80-B34,U07.1)",GR130-012,2023,2023,222,3596017,0.06
,#Acute poliomyelitis (A80),GR130-013,2007,2007,0,4316233,0
,#Acute poliomyelitis (A80),GR130-013,2008,2008,0,4247726,0
,#Acute poliomyelitis (A80),GR130-013,2009,2009,0,4130665,0
,#Acute poliomyelitis (A80),GR130-013,2010,2010,0,3999386,0
,#Acute poliomyelitis (A80),GR130-013,2011,2011,0,3953590,0
,#Acute poliomyelitis (A80),GR130-013,2012,2012,0,3952841,0
,#Acute poliomyelitis (A80),GR130-013,2013,2013,0,3932181,0
,#Acute poliomyelitis (A80),GR130-013,2014,2014,0,3988076,0
,#Acute poliomyelitis (A80),GR130-013,2015,2015,0,3978497,0
,#Acute poliomyelitis (A80),GR130-013,2016,2016,0,3945875,0
,#Acute poliomyelitis (A80),GR130-013,2017,2017,0,3855500,0
,#Acute poliomyelitis (A80),GR130-013,2018,2018,0,3791712,0
,#Acute poliomyelitis (A80),GR130-013,2019,2019,0,3747540,0
,#Acute poliomyelitis (A80),GR130-013,2020,2020,0,3613647,0
,#Acute poliomyelitis (A80),GR130-013,2021,2021,0,3664292,0
,#Acute poliomyelitis (A80),GR130-013,2022,2022,0,3667758,0
,#Acute poliomyelitis (A80),GR130-013,2023,2023,0,3596017,0
,#Varicella (chickenpox) (B01),GR130-014,2007,2007,0,4316233,0
,#Varicella (chickenpox) (B01),GR130-014,2008,2008,0,4247726,0
