Notes,ICD-10 130 Cause List (Infants),ICD-10 130 Cause List (Infants) Code,Year of Death,Year of Death Code,Deaths,Births,Death Rate
,#Diseases of the ear and mastoid process (H60-H93),GR130-045,2014,2014,Suppressed,3988076,Suppressed
,#Diseases of the ear and mastoid process (H60-H93),GR130-045,2015,2015,Suppressed,3978497,Suppressed
,#Diseases of the ear and mastoid process (H60-H93),GR130-045,2016,2016,Suppressed,3945875,Suppressed
,#Diseases of the ear and mastoid process (H60-H93),GR130-045,2017,2017,Suppressed,3855500,Suppressed
,#Diseases of the ear and mastoid process (H60-H93),GR130-045,2018,2018,0,3791712,0
,#Diseases of the ear and mastoid process (H60-H93),GR130-045,2019,2019,Suppressed,3747540,Suppressed
,#Diseases of the ear and mastoid process (H60-H93),GR130-045,2020,2020,Suppressed,3613647,Suppressed
,#Diseases of the ear and mastoid process (H60-H93),GR130-045,2021,2021,Suppressed,3664292,Suppressed
,#Diseases of the ear and mastoid process (H60-H93),GR130-045,2022,2022,Suppressed,3667758,Suppressed
,#Diseases of the ear and mastoid process (H60-H93),GR130-045,2023,2023,Suppressed,3596017,Suppressed
,#Diseases of the circulatory system (I00-I99),GR130-046,2007,2007,621,4316233,0.14
,#Diseases of the circulatory system (I00-I99),GR130-046,2008,2008,595,4247726,0.14
,#Diseases of the circulatory system (I00-I99),GR130-046,2009,2009,582,4130665,0.14
,#Diseases of the circulatory system (I00-I99),GR130-046,2010,2010,508,3999386,0.13
,#Diseases of the circulatory system (I00-I99),GR130-046,2011,2011,501,3953590,0.13
,#Diseases of the circulatory system (I00-I99),GR130-046,2012,2012,493,3952841,0.12
,#Diseases of the circulatory system (I00-I99),GR130-046,2013,2013,457,3932181,0.12
,#Diseases of the circulatory system (I00-I99),GR130-046,2014,2014,443,3988076,0.11
,#Diseases of the circulatory system (I00-I99),GR130-046,2015,2015,425,3978497,0.11
,#Diseases of the circulatory system (I00-I99),GR130-046,2016,2016,459,3945875,0.12
,#Diseases of the circulatory system (I00-I99),GR130-046,2017,2017,447,3855500,0.12
,#Diseases of the circulatory system (I00-I99),GR130-046,2018,2018,427,3791712,0.11
,#Diseases of the circulatory system (I00-I99),GR130-046,2019,2019,404,3747540,0.11
,#Diseases of the circulatory system (I00-I99),GR130-046,2020,2020,383,3613647,0.11
,#Diseases of the circulatory system (I00-I99),GR130-046,2021,2021,399,3664292,0.11
,#Diseases of the circulatory system (I00-I99),GR130-046,2022,2022,358,3667758,0.1
,#Diseases of the circulatory system (I00-I99),GR130-046,2023,2023,356,3596017,0.1
,Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),GR130-047,2007,2007,99,4316233,0.02
,Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),GR130-047,2008,2008,88,4247726,0.02
,Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),GR130-047,2009,2009,113,4130665,0.03
,Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),GR130-047,2010,2010,91,3999386,0.02
,Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),GR130-047,2011,2011,87,3953590,0.02
,Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),GR130-047,2012,2012,104,3952841,0.03
,Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),GR130-047,2013,2013,81,3932181,0.02
,Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),GR130-047,2014,2014,90,3988076,0.02
,Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),GR130-047,2015,2015,88,3978497,0.02
,Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),GR130-047,2016,2016,96,3945875,0.02
,Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),GR130-047,2017,2017,86,3855500,0.02
,Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),GR130-047,2018,2018,94,3791712,0.02
,Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),GR130-047,2019,2019,84,3747540,0.02
,Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),GR130-047,2020,2020,65,3613647,0.02
,Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),GR130-047,2021,2021,67,3664292,0.02
,Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),GR130-047,2022,2022,55,3667758,0.01
,Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),GR130-047,2023,2023,70,3596017,0.02
,"Pericarditis, endocarditis and myocarditis (I30,I33,I40)",GR130-048,2007,2007,21,4316233,0
,"Pericarditis, endocarditis and myocarditis (I30,I33,I40)",GR130-048,2008,2008,17,4247726,0.00 (Unreliable)
,"Pericarditis, endocarditis and myocarditis (I30,I33,I40)",GR130-048,2009,2009,15,4130665,0.00 (Unreliable)
,"Pericarditis, endocarditis and myocarditis (I30,I33,I40)",GR130-048,2010,2010,14,3999386,0.00 (Unreliable)
,"Pericarditis, endocarditis and myocarditis (I30,I33,I40)",GR130-048,2011,2011,Suppressed,3953590,Suppressed
,"Pericarditis, endocarditis and myocarditis (I30,I33,I40)",GR130-048,2012,2012,20,3952841,0.01
,"Pericarditis, endocarditis and myocarditis (I30,I33,I40)",GR130-048,2013,2013,13,3932181,0.00 (Unreliable)
,"Pericarditis, endocarditis and myocarditis (I30,I33,I40)",GR130-048,2014,2014,10,3988076,0.00 (Unreliable)
,"Pericarditis, endocarditis and myocarditis (I30,I33,I40)",GR130-048,2015,2015,Suppressed,3978497,Suppressed
,"Pericarditis, endocarditis and myocarditis (I30,I33,I40)",GR130-048,2016,2016,16,3945875,0.00 (Unreliable)
,"Pericarditis, endocarditis and myocarditis (I30,I33,I40)",GR130-048,2017,2017,12,3855500,0.00 (Unreliable)
,"Pericarditis, endocarditis and myocarditis (I30,I33,I40)",GR130-048,2018,2018,14,3791712,0.00 (Unreliable)
,"Pericarditis, endocarditis and myocarditis (I30,I33,I40)",GR130-048,2019,2019,Suppressed,3747540,Suppressed
,"Pericarditis, endocarditis and myocarditis (I30,I33,I40)",GR130-048,2020,2020,11,3613647,0.00 (Unreliable)
,"Pericarditis, endocarditis and myocarditis (I30,I33,I40)",GR130-048,2021,2021,Suppressed,3664292,Suppressed
,"Pericarditis, endocarditis and myocarditis (I30,I33,I40)",GR130-048,2022,2022,Suppressed,3667758,Suppressed
,"Pericarditis, endocarditis and myocarditis (I30,I33,I40)",GR130-048,2023,2023,Suppressed,3596017,Suppressed
,Cardiomyopathy (I42),GR130-049,2007,2007,119,4316233,0.03
,Cardiomyopathy (I42),GR130-049,2008,2008,116,4247726,0.03
,Cardiomyopathy (I42),GR130-049,2009,2009,111,4130665,0.03
,Cardiomyopathy (I42),GR130-049,2010,2010,80,3999386,0.02
,Cardiomyopathy (I42),GR130-049,2011,2011,88,3953590,0.02
,Cardiomyopathy (I42),GR130-049,2012,2012,94,3952841,0.02
,Cardiomyopathy (I42),GR130-049,2013,2013,97,3932181,0.02
,Cardiomyopathy (I42),GR130-049,2014,2014,102,3988076,0.03
,Cardiomyopathy (I42),GR130-049,2015,2015,79,3978497,0.02
,Cardiomyopathy (I42),GR130-049,2016,2016,88,3945875,0.02
,Cardiomyopathy (I42),GR130-049,2017,2017,80,3855500,0.02
,Cardiomyopathy (I42),GR130-049,2018,2018,90,3791712,0.02
,Cardiomyopathy (I42),GR130-049,2019,2019,87,3747540,0.02
,Cardiomyopathy (I42),GR130-049,2020,2020,68,3613647,0.02
,Cardiomyopathy (I42),GR130-049,2021,2021,74,3664292,0.02
,Cardiomyopathy (I42),GR130-049,2022,2022,87,3667758,0.02
,Cardiomyopathy (I42),GR130-049,2023,2023,70,3596017,0.02
,Cardiac arrest (I46),GR130-050,2007,2007,29,4316233,0.01
,Cardiac arrest (I46),GR130-050,2008,2008,25,4247726,0.01
,Cardiac arrest (I46),GR130-050,2009,2009,27,4130665,0.01
,Cardiac arrest (I46),GR130-050,2010,2010,18,3999386,0.00 (Unreliable)
,Cardiac arrest (I46),GR130-050,2011,2011,22,3953590,0.01
,Cardiac arrest (I46),GR130-050,2012,2012,12,3952841,0.00 (Unreliable)
,Cardiac arrest (I46),GR130-050,2013,2013,21,3932181,0.01
,Cardiac arrest (I46),GR130-050,2014,2014,20,3988076,0.01
,Cardiac arrest (I46),GR130-050,2015,2015,17,3978497,0.00 (Unreliable)
,Cardiac arrest (I46),GR130-050,2016,2016,10,3945875,0.00 (Unreliable)
,Cardiac arrest (I46),GR130-050,2017,2017,14,3855500,0.00 (Unreliable)
,Cardiac arrest (I46),GR130-050,2018,2018,12,3791712,0.00 (Unreliable)
,Cardiac arrest (I46),GR130-050,2019,2019,Suppressed,3747540,Suppressed
,Cardiac arrest (I46),GR130-050,2020,2020,22,3613647,0.01
,Cardiac arrest (I46),GR130-050,2021,2021,25,3664292,0.01
,Cardiac arrest (I46),GR130-050,2022,2022,11,3667758,0.00 (Unreliable)
,Cardiac arrest (I46),GR130-050,2023,2023,20,3596017,0.01
,Cerebrovascular diseases (I60-I69),GR130-051,2007,2007,132,4316233,0.03
,Cerebrovascular diseases (I60-I69),GR130-051,2008,2008,142,4247726,0.03
,Cerebrovascular diseases (I60-I69),GR130-051,2009,2009,148,4130665,0.04
,Cerebrovascular diseases (I60-I69),GR130-051,2010,2010,129,3999386,0.03
,Cerebrovascular diseases (I60-I69),GR130-051,2011,2011,134,3953590,0.03
,Cerebrovascular diseases (I60-I69),GR130-051,2012,2012,103,3952841,0.03
,Cerebrovascular diseases (I60-I69),GR130-051,2013,2013,107,3932181,0.03
,Cerebrovascular diseases (I60-I69),GR130-051,2014,2014,92,3988076,0.02
,Cerebrovascular diseases (I60-I69),GR130-051,2015,2015,88,3978497,0.02
,Cerebrovascular diseases (I60-I69),GR130-051,2016,2016,124,3945875,0.03
,Cerebrovascular diseases (I60-I69),GR130-051,2017,2017,100,3855500,0.03
,Cerebrovascular diseases (I60-I69),GR130-051,2018,2018,98,3791712,0.03
,Cerebrovascular diseases (I60-I69),GR130-051,2019,2019,101,3747540,0.03
,Cerebrovascular diseases (I60-I69),GR130-051,2020,2020,103,3613647,0.03
,Cerebrovascular diseases (I60-I69),GR130-051,2021,2021,96,3664292,0.03
,Cerebrovascular diseases (I60-I69),GR130-051,2022,2022,88,3667758,0.02
,Cerebrovascular diseases (I60-I69),GR130-051,2023,2023,81,3596017,0.02
,"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)",GR130-052,2007,2007,221,4316233,0.05
,"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)",GR130-052,2008,2008,207,4247726,0.05
,"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)",GR130-052,2009,2009,167,4130665,0.04
,"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)",GR130-052,2010,2010,176,3999386,0.04
,"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)",GR130-052,2011,2011,161,3953590,0.04
,"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)",GR130-052,2012,2012,161,3952841,0.04
,"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)",GR130-052,2013,2013,138,3932181,0.04
,"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)",GR130-052,2014,2014,129,3988076,0.03
,"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)",GR130-052,2015,2015,144,3978497,0.04
,"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)",GR130-052,2016,2016,124,3945875,0.03
,"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)",GR130-052,2017,2017,154,3855500,0.04
,"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)",GR130-052,2018,2018,119,3791712,0.03
,"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)",GR130-052,2019,2019,119,3747540,0.03
,"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)",GR130-052,2020,2020,112,3613647,0.03
,"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)",GR130-052,2021,2021,134,3664292,0.04
,"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)",GR130-052,2022,2022,110,3667758,0.03
,"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)",GR130-052,2023,2023,107,3596017,0.03
,"Diseases of the respiratory system (J00-J98,U04)",GR130-053,2007,2007,634,4316233,0.15
,"Diseases of the respiratory system (J00-J98,U04)",GR130-053,2008,2008,580,4247726,0.14
,"Diseases of the respiratory system (J00-J98,U04)",GR130-053,2009,2009,595,4130665,0.14
,"Diseases of the respiratory system (J00-J98,U04)",GR130-053,2010,2010,572,3999386,0.14
,"Diseases of the respiratory system (J00-J98,U04)",GR130-053,2011,2011,587,3953590,0.15
,"Diseases of the respiratory system (J00-J98,U04)",GR130-053,2012,2012,498,3952841,0.13
,"Diseases of the respiratory system (J00-J98,U04)",GR130-053,2013,2013,524,3932181,0.13
,"Diseases of the respiratory system (J00-J98,U04)",GR130-053,2014,2014,515,3988076,0.13
,"Diseases of the respiratory system (J00-J98,U04)",GR130-053,2015,2015,535,3978497,0.13
,"Diseases of the respiratory system (J00-J98,U04)",GR130-053,2016,2016,534,3945875,0.14
,"Diseases of the respiratory system (J00-J98,U04)",GR130-053,2017,2017,440,3855500,0.11
,"Diseases of the respiratory system (J00-J98,U04)",GR130-053,2018,2018,411,3791712,0.11
,"Diseases of the respiratory system (J00-J98,U04)",GR130-053,2019,2019,426,3747540,0.11
,"Diseases of the respiratory system (J00-J98,U04)",GR130-053,2020,2020,309,3613647,0.09
,"Diseases of the respiratory system (J00-J98,U04)",GR130-053,2021,2021,344,3664292,0.09
,"Diseases of the respiratory system (J00-J98,U04)",GR130-053,2022,2022,390,3667758,0.11
,"Diseases of the respiratory system (J00-J98,U04)",GR130-053,2023,2023,337,3596017,0.09
,#Acute upper respiratory infections (J00-J06),GR130-054,2007,2007,14,4316233,0.00 (Unreliable)
,#Acute upper respiratory infections (J00-J06),GR130-054,2008,2008,12,4247726,0.00 (Unreliable)
,#Acute upper respiratory infections (J00-J06),GR130-054,2009,2009,12,4130665,0.00 (Unreliable)
,#Acute upper respiratory infections (J00-J06),GR130-054,2010,2010,15,3999386,0.00 (Unreliable)
,#Acute upper respiratory infections (J00-J06),GR130-054,2011,2011,10,3953590,0.00 (Unreliable)
,#Acute upper respiratory infections (J00-J06),GR130-054,2012,2012,Suppressed,3952841,Suppressed
,#Acute upper respiratory infections (J00-J06),GR130-054,2013,2013,15,3932181,0.00 (Unreliable)
,#Acute upper respiratory infections (J00-J06),GR130-054,2014,2014,15,3988076,0.00 (Unreliable)
,#Acute upper respiratory infections (J00-J06),GR130-054,2015,2015,15,3978497,0.00 (Unreliable)
,#Acute upper respiratory infections (J00-J06),GR130-054,2016,2016,13,3945875,0.00 (Unreliable)
,#Acute upper respiratory infections (J00-J06),GR130-054,2017,2017,12,3855500,0.00 (Unreliable)
,#Acute upper respiratory infections (J00-J06),GR130-054,2018,2018,Suppressed,3791712,Suppressed
,#Acute upper respiratory infections (J00-J06),GR130-054,2019,2019,10,3747540,0.00 (Unreliable)
,#Acute upper respiratory infections (J00-J06),GR130-054,2020,2020,Suppressed,3613647,Suppressed
,#Acute upper respiratory infections (J00-J06),GR130-054,2021,2021,Suppressed,3664292,Suppressed
,#Acute upper respiratory infections (J00-J06),GR130-054,2022,2022,Suppressed,3667758,Suppressed
,#Acute upper respiratory infections (J00-J06),GR130-054,2023,2023,11,3596017,0.00 (Unreliable)
,#Influenza and pneumonia (J09-J18),GR130-055,2007,2007,218,4316233,0.05
,#Influenza and pneumonia (J09-J18),GR130-055,2008,2008,225,4247726,0.05
,#Influenza and pneumonia (J09-J18),GR130-055,2009,2009,253,4130665,0.06
,#Influenza and pneumonia (J09-J18),GR130-055,2010,2010,195,3999386,0.05
,#Influenza and pneumonia (J09-J18),GR130-055,2011,2011,205,3953590,0.05
,#Influenza and pneumonia (J09-J18),GR130-055,2012,2012,159,3952841,0.04
,#Influenza and pneumonia (J09-J18),GR130-055,2013,2013,179,3932181,0.05
,#Influenza and pneumonia (J09-J18),GR130-055,2014,2014,186,3988076,0.05
,#Influenza and pneumonia (J09-J18),GR130-055,2015,2015,173,3978497,0.04
,#Influenza and pneumonia (J09-J18),GR130-055,2016,2016,164,3945875,0.04
,#Influenza and pneumonia (J09-J18),GR130-055,2017,2017,158,3855500,0.04
,#Influenza and pneumonia (J09-J18),GR130-055,2018,2018,174,3791712,0.05
,#Influenza and pneumonia (J09-J18),GR130-055,2019,2019,155,3747540,0.04
,#Influenza and pneumonia (J09-J18),GR130-055,2020,2020,124,3613647,0.03
,#Influenza and pneumonia (J09-J18),GR130-055,2021,2021,126,3664292,0.03
,#Influenza and pneumonia (J09-J18),GR130-055,2022,2022,153,3667758,0.04
,#Influenza and pneumonia (J09-J18),GR130-055,2023,2023,146,3596017,0.04
,Influenza (J09-J11),GR130-056,2007,2007,13,4316233,0.00 (Unreliable)
,Influenza (J09-J11),GR130-056,2008,2008,16,4247726,0.00 (Unreliable)
,Influenza (J09-J11),GR130-056,2009,2009,44,4130665,0.01
,Influenza (J09-J11),GR130-056,2010,2010,15,3999386,0.00 (Unreliable)
,Influenza (J09-J11),GR130-056,2011,2011,24,3953590,0.01
,Influenza (J09-J11),GR130-056,2012,2012,12,3952841,0.00 (Unreliable)
,Influenza (J09-J11),GR130-056,2013,2013,20,3932181,0.01
,Influenza (J09-J11),GR130-056,2014,2014,30,3988076,0.01
,Influenza (J09-J11),GR130-056,2015,2015,17,3978497,0.00 (Unreliable)
,Influenza (J09-J11),GR130-056,2016,2016,12,3945875,0.00 (Unreliable)
,Influenza (J09-J11),GR130-056,2017,2017,12,3855500,0.00 (Unreliable)
,Influenza (J09-J11),GR130-056,2018,2018,19,3791712,0.01 (Unreliable)
,Influenza (J09-J11),GR130-056,2019,2019,24,3747540,0.01
,Influenza (J09-J11),GR130-056,2020,2020,14,3613647,0.00 (Unreliable)
,Influenza (J09-J11),GR130-056,2021,2021,Suppressed,3664292,Suppressed
,Influenza (J09-J11),GR130-056,2022,2022,12,3667758,0.00 (Unreliable)
,Influenza (J09-J11),GR130-056,2023,2023,15,3596017,0.00 (Unreliable)
,Pneumonia (J12-J18),GR130-057,2007,2007,205,4316233,0.05
,Pneumonia (J12-J18),GR130-057,2008,2008,209,4247726,0.05
,Pneumonia (J12-J18),GR130-057,2009,2009,209,4130665,0.05
,Pneumonia (J12-J18),GR130-057,2010,2010,180,3999386,0.05
,Pneumonia (J12-J18),GR130-057,2011,2011,181,3953590,0.05
,Pneumonia (J12-J18),GR130-057,2012,2012,147,3952841,0.04
,Pneumonia (J12-J18),GR130-057,2013,2013,159,3932181,0.04
,Pneumonia (J12-J18),GR130-057,2014,2014,156,3988076,0.04
,Pneumonia (J12-J18),GR130-057,2015,2015,156,3978497,0.04
,Pneumonia (J12-J18),GR130-057,2016,2016,151,3945875,0.04
,Pneumonia (J12-J18),GR130-057,2017,2017,146,3855500,0.04
,Pneumonia (J12-J18),GR130-057,2018,2018,155,3791712,0.04
,Pneumonia (J12-J18),GR130-057,2019,2019,131,3747540,0.03
,Pneumonia (J12-J18),GR130-057,2020,2020,110,3613647,0.03
,Pneumonia (J12-J18),GR130-057,2021,2021,121,3664292,0.03
,Pneumonia (J12-J18),GR130-057,2022,2022,141,3667758,0.04
,Pneumonia (J12-J18),GR130-057,2023,2023,131,3596017,0.04
,#Acute bronchitis and acute bronchiolitis (J20-J21),GR130-058,2007,2007,46,4316233,0.01
,#Acute bronchitis and acute bronchiolitis (J20-J21),GR130-058,2008,2008,44,4247726,0.01
,#Acute bronchitis and acute bronchiolitis (J20-J21),GR130-058,2009,2009,46,4130665,0.01
,#Acute bronchitis and acute bronchiolitis (J20-J21),GR130-058,2010,2010,25,3999386,0.01
,#Acute bronchitis and acute bronchiolitis (J20-J21),GR130-058,2011,2011,37,3953590,0.01
,#Acute bronchitis and acute bronchiolitis (J20-J21),GR130-058,2012,2012,40,3952841,0.01
,#Acute bronchitis and acute bronchiolitis (J20-J21),GR130-058,2013,2013,29,3932181,0.01
,#Acute bronchitis and acute bronchiolitis (J20-J21),GR130-058,2014,2014,36,3988076,0.01
,#Acute bronchitis and acute bronchiolitis (J20-J21),GR130-058,2015,2015,50,3978497,0.01
,#Acute bronchitis and acute bronchiolitis (J20-J21),GR130-058,2016,2016,37,3945875,0.01
,#Acute bronchitis and acute bronchiolitis (J20-J21),GR130-058,2017,2017,42,3855500,0.01
,#Acute bronchitis and acute bronchiolitis (J20-J21),GR130-058,2018,2018,34,3791712,0.01
,#Acute bronchitis and acute bronchiolitis (J20-J21),GR130-058,2019,2019,42,3747540,0.01
,#Acute bronchitis and acute bronchiolitis (J20-J21),GR130-058,2020,2020,12,3613647,0.00 (Unreliable)
,#Acute bronchitis and acute bronchiolitis (J20-J21),GR130-058,2021,2021,27,3664292,0.01
,#Acute bronchitis and acute bronchiolitis (J20-J21),GR130-058,2022,2022,40,3667758,0.01
,#Acute bronchitis and acute bronchiolitis (J20-J21),GR130-058,2023,2023,20,3596017,0.01
,"#Bronchitis, chronic and unspecified (J40-J42)",GR130-059,2007,2007,24,4316233,0.01
,"#Bronchitis, chronic and unspecified (J40-J42)",GR130-059,2008,2008,23,4247726,0.01
,"#Bronchitis, chronic and unspecified (J40-J42)",GR130-059,2009,2009,12,4130665,0.00 (Unreliable)
,"#Bronchitis, chronic and unspecified (J40-J42)",GR130-059,2010,2010,26,3999386,0.01
,"#Bronchitis, chronic and unspecified (J40-J42)",GR130-059,2011,2011,23,3953590,0.01
,"#Bronchitis, chronic and unspecified (J40-J42)",GR130-059,2012,2012,14,3952841,0.00 (Unreliable)
,"#Bronchitis, chronic and unspecified (J40-J42)",GR130-059,2013,2013,20,3932181,0.01
,"#Bronchitis, chronic and unspecified (J40-J42)",GR130-059,2014,2014,13,3988076,0.00 (Unreliable)
,"#Bronchitis, chronic and unspecified (J40-J42)",GR130-059,2015,2015,19,3978497,0.00 (Unreliable)
,"#Bronchitis, chronic and unspecified (J40-J42)",GR130-059,2016,2016,23,3945875,0.01
,"#Bronchitis, chronic and unspecified (J40-J42)",GR130-059,2017,2017,11,3855500,0.00 (Unreliable)
,"#Bronchitis, chronic and unspecified (J40-J42)",GR130-059,2018,2018,10,3791712,0.00 (Unreliable)
,"#Bronchitis, chronic and unspecified (J40-J42)",GR130-059,2019,2019,10,3747540,0.00 (Unreliable)
,"#Bronchitis, chronic and unspecified (J40-J42)",GR130-059,2020,2020,Suppressed,3613647,Suppressed
,"#Bronchitis, chronic and unspecified (J40-J42)",GR130-059,2021,2021,Suppressed,3664292,Suppressed
,"#Bronchitis, chronic and unspecified (J40-J42)",GR130-059,2022,2022,Suppressed,3667758,Suppressed
,"#Bronchitis, chronic and unspecified (J40-J42)",GR130-059,2023,2023,Suppressed,3596017,Suppressed
,#Asthma (J45-J46),GR130-060,2007,2007,Suppressed,4316233,Suppressed
,#Asthma (J45-J46),GR130-060,2008,2008,Suppressed,4247726,Suppressed
,#Asthma (J45-J46),GR130-060,2009,2009,Suppressed,4130665,Suppressed
,#Asthma (J45-J46),GR130-060,2010,2010,Suppressed,3999386,Suppressed
,#Asthma (J45-J46),GR130-060,2011,2011,Suppressed,3953590,Suppressed
,#Asthma (J45-J46),GR130-060,2012,2012,Suppressed,3952841,Suppressed
,#Asthma (J45-J46),GR130-060,2013,2013,Suppressed,3932181,Suppressed
,#Asthma (J45-J46),GR130-060,2014,2014,Suppressed,3988076,Suppressed
,#Asthma (J45-J46),GR130-060,2015,2015,Suppressed,3978497,Suppressed
,#Asthma (J45-J46),GR130-060,2016,2016,Suppressed,3945875,Suppressed
,#Asthma (J45-J46),GR130-060,2017,2017,Suppressed,3855500,Suppressed
,#Asthma (J45-J46),GR130-060,2018,2018,Suppressed,3791712,Suppressed
,#Asthma (J45-J46),GR130-060,2019,2019,Suppressed,3747540,Suppressed
,#Asthma (J45-J46),GR130-060,2020,2020,Suppressed,3613647,Suppressed
,#Asthma (J45-J46),GR130-060,2021,2021,Suppressed,3664292,Suppressed
,#Asthma (J45-J46),GR130-060,2022,2022,Suppressed,3667758,Suppressed
,#Asthma (J45-J46),GR130-060,2023,2023,Suppressed,3596017,Suppressed
,#Pneumonitis due to solids and liquids (J69),GR130-061,2007,2007,10,4316233,0.00 (Unreliable)
,#Pneumonitis due to solids and liquids (J69),GR130-061,2008,2008,11,4247726,0.00 (Unreliable)
,#Pneumonitis due to solids and liquids (J69),GR130-061,2009,2009,Suppressed,4130665,Suppressed
,#Pneumonitis due to solids and liquids (J69),GR130-061,2010,2010,17,3999386,0.00 (Unreliable)
,#Pneumonitis due to solids and liquids (J69),GR130-061,2011,2011,Suppressed,3953590,Suppressed
,#Pneumonitis due to solids and liquids (J69),GR130-061,2012,2012,10,3952841,0.00 (Unreliable)
,#Pneumonitis due to solids and liquids (J69),GR130-061,2013,2013,16,3932181,0.00 (Unreliable)
,#Pneumonitis due to solids and liquids (J69),GR130-061,2014,2014,Suppressed,3988076,Suppressed
,#Pneumonitis due to solids and liquids (J69),GR130-061,2015,2015,Suppressed,3978497,Suppressed
,#Pneumonitis due to solids and liquids (J69),GR130-061,2016,2016,12,3945875,0.00 (Unreliable)
,#Pneumonitis due to solids and liquids (J69),GR130-061,2017,2017,Suppressed,3855500,Suppressed
,#Pneumonitis due to solids and liquids (J69),GR130-061,2018,2018,Suppressed,3791712,Suppressed
,#Pneumonitis due to solids and liquids (J69),GR130-061,2019,2019,Suppressed,3747540,Suppressed
,#Pneumonitis due to solids and liquids (J69),GR130-061,2020,2020,Suppressed,3613647,Suppressed
,#Pneumonitis due to solids and liquids (J69),GR130-061,2021,2021,Suppressed,3664292,Suppressed
,#Pneumonitis due to solids and liquids (J69),GR130-061,2022,2022,Suppressed,3667758,Suppressed
,#Pneumonitis due to solids and liquids (J69),GR130-061,2023,2023,Suppressed,3596017,Suppressed
,"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)",GR130-062,2007,2007,318,4316233,0.07
,"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)",GR130-062,2008,2008,258,4247726,0.06
,"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)",GR130-062,2009,2009,257,4130665,0.06
,"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)",GR130-062,2010,2010,289,3999386,0.07
,"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)",GR130-062,2011,2011,298,3953590,0.08
,"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)",GR130-062,2012,2012,264,3952841,0.07
,"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)",GR130-062,2013,2013,263,3932181,0.07
,"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)",GR130-062,2014,2014,258,3988076,0.06
,"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)",GR130-062,2015,2015,268,3978497,0.07
,"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)",GR130-062,2016,2016,282,3945875,0.07
